fixedacidity,volatileacidity,citricacid,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,pH,sulphates,alcohol,Color
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,Red
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,White
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,White
6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,White
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,White
7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,White
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,Red
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,Red
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,White
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,White
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,White
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,Red
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,Red
5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,White
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,White
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,White
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,White
6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,White
5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,White
7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,White
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,White
5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,White
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,Red
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,White
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,Red
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,Red
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,White
